,label,text
205,peptic ulcer disease,"A persistent gnawing pain in my abdomen that intensifies with each meal, searing my insides and radiating towards my back like a fire consuming my organs. It feels like acid is constantly churning in my stomach, leaving me feeling nauseous and drained of energy."
206,diabetes,"Doc, over the past few weeks, I've been noticing that I'm ridiculously thirsty all the time - like, I'll guzzle a whole bottle of water and still feel parched. And honestly, it's been months since I've had a normal bathroom routine, I'm urinating so frequently, especially at night, that I'm starting to feel like I'm living in the bathroom."
207,Psoriasis,"My skin feels like a tight, itchy blanket, suffocating me despite the warmth. Patchy red and silvery lesions cover my limbs, like a rash of angry brushstrokes across a canvas."
208,Varicose Veins,"I've been experiencing increasing discomfort and heaviness in my legs for a few months now, especially after prolonged periods of standing or sitting, which has started to affect my daily activities and ability to sleep at night. Just yesterday, I noticed a large, bulging vein on the back of my calf that seems to be getting worse by the day, and I'm concerned it might be a sign of something more serious."
209,Typhoid,"I've been feeling utterly exhausted for weeks, even after getting a full night's sleep - as if I'm running on empty. Lately, I've also been experiencing a persistent, high-pitched fever, accompanied by mild headaches, and a nagging sense of discomfort in my abdomen, which has left me with a constant feeling of being unwell, despite taking antibiotics for what I thought was a viral infection."
210,Chicken pox,"I've been feeling really exhausted for the past week, and it's been getting worse by the day - I've had to take naps during the day and find it hard to muster the energy to do even simple tasks. Just yesterday, I noticed tiny itchy bumps all over my body, which started to merge into larger blisters, especially on my torso, arms, and legs, and I'm getting worried because some of them are starting to ooze and crust over, and I'm not sure what's causing it."
211,Impetigo,"small, fluid-filled blisters appearing on the skin of my face and hands over the past week. These blisters often burst, leaving behind honey-colored crusts that are occasionally itchy and occasionally painful."
212,Dengue,"I'm experiencing a low-grade fever that started around 5 weeks ago, with temperatures usually hovering between 99-100.4°F, but getting progressively worse over the past week."
213,Fungal infection,"A persistent tingling numbness dissects my limbs, like a web of icy vines constricting my movements. It's been escalating gradually over the past month, but the sharp, burning sensation never fades, even at night."
214,Common Cold,"Doctor,  I've had this nagging cough for weeks now, and it seems like every time I think it's clearing up, I get hit with a fresh wave of congestion. My throat is also constantly sore and scratchy, and I'm just feeling so drained all the time."
215,Pneumonia,"I've had this persistent cough for weeks now, and it's gotten so much worse lately. I'm also really short of breath, even when I'm just resting, and I feel like I'm coming down with a fever."
216,Dimorphic Hemorrhoids,"I've been experiencing a persistent discomfort in my anal region for the past few weeks. It's not constant, but it flares up periodically, especially after long periods of sitting or during bowel movements. I've also noticed some bleeding, which appears as bright red spots on the toilet paper. The bleeding is usually painless."
217,Arthritis,"Doc, I've been waking up with stiffness in my hands and knees for the past few months, but over the past week, I've noticed that even simple tasks like gripping a pen or walking up the stairs have become excruciatingly painful, with a sharp, burning sensation that lingers for hours. Some days are better than others, but lately, I've been experiencing a dull, aching pain in my wrists and ankles that seems to radiate up my arms and legs, especially after a long day or a period of inactivity."
218,Acne,"I've been noticing some changes in my skin for the past few weeks. I've been experiencing small, red bumps on my face, particularly on my forehead and chin. They're raised, and sometimes they're painful to the touch. I thought they might just be pimples at first, but they've been persisting for a while now, and new ones keep appearing. It's been affecting my confidence and making me feel self-conscious about my appearance."
219,Bronchial Asthma,"I've been noticing lately that my chest tightens up unexpectedly, often triggered by exercising or being around strong scented candles, leaving me feeling short of breath and wheezing - it's been happening off and on for the past few months, but yesterday was the worst, as I woke up to a persistent cough that wouldn't subside, and today my lung function test results showed a significant decline, which has me really concerned about my overall health."
220,Hypertension,"Lately, I've been feeling like I'm always exhausted, even after getting a full night's sleep. My head has been pounding recently, especially when I've been experiencing stressful periods at work, and I've noticed that my normally stable blood pressure has been consistently higher than usual over the past few months."
221,Migraine,"Doctor, I've been experiencing debilitating headaches on the right side of my head for the past three weeks, often accompanied by sensitivity to light and sound, and just today, I had a severe episode that lasted for hours, leaving me feeling exhausted and nauseous. Lately, I've also noticed that certain smells, like strong perfumes or cooking odors, can trigger these headaches, and even my usual morning coffee seems to be setting them off more frequently."
222,Cervical spondylosis,"Doctor, I've been experiencing a nagging stiffness in my neck for the past few weeks, which has been making it difficult for me to turn my head or bend my neck, and lately, I've been getting these sharp, electric shock-like pains shooting down my arm to my fingers, especially when I cough or sneeze. Over the past few months, I've also noticed a gradual increase in numbness and tingling sensations in my shoulder blades and upper back, which is affecting my ability to sleep and perform daily activities."
223,Jaundice,"Doc, I've been experiencing this yellowing of my skin and eyes for about 3 months now, but it started feeling more intense over the past 2 weeks. It's so bad that I have to wear bright colors to cover up the dark circles under my eyes and my normally fair skin has turned a sickly shade of orange, on top of that, I've been getting these sharp pains in my right upper belly that come and go over the past 4-5 weeks, sometimes they're so bad I have to stop what I'm doing and curl up in a ball."
224,Malaria,"My limbs feel like lead, unable to carry my weight. Each exhale rasps like the dry wind through skeletal trees."
225,urinary tract infection,"I've been feeling off for a few weeks now,Doc. My typical morning routine of drinking a cup of coffee and hitting the gym has left me with a constant, gnawing sensation in my lower abdominal area, and last night's sudden onset of intense burning while urinating has me scared it's more than just a UTI, but I've been waking up multiple times a night with urges to pee and occasionally experiencing itchy, milky discharge from my vulva, which I've tried to brush off as a reaction to a new laundry detergent, but something feels off."
226,allergy,"My nose has become a permanent symphony of sniffles, each breath accompanied by a curtain of watery discharge. My eyes weep constantly, as if tear ducts had become malfunctioning fountains."
227,gastroesophageal reflux disease,"My chest tightens with every bite, a phantom acid burning down my gullet. Each burp echoes an unwelcome symphony of discomfort, the metallic tang of acid leaving a bitter aftertaste on my tongue."
228,drug reaction,"I've been feeling this awful itch all over, especially my skin, for the past couple of months now. It started shortly after I started taking that new allergy medication you prescribed."
229,peptic ulcer disease,"I've been experiencing persistent burning abdominal pain on and off for the past few weeks, which seems to worsen at night and after meals. Additionally, I've noticed occasional nausea and vomiting, along with loss of appetite and unexplained weight loss over the past month."
230,diabetes,"I've been feeling incredibly thirsty lately, like I could drink forever, and I'm constantly needing to pee, even in the middle of the night. It's been happening for a few weeks now and I'm really worried."
231,Psoriasis,"Doctor, over the past few months, I've noticed these itchy, scaly patches on my elbows and knees that just won't go away - some days they're just mildly annoying, but other days they're so inflamed and painful that even wearing clothes feels like a chore. Lately, I've also been getting these tiny, burning bumps on my scalp that crust over and fall off, leaving behind a raw, sensitive spot that's driving me crazy, especially when I shampoo my hair."
232,Varicose Veins,"I've noticed these twisted, bulging veins on my left leg, especially around my ankle, that just seem to be getting worse.  Sometimes they feel heavy and aching, especially after standing for a long time."
233,Typhoid,"I've been experiencing recurring high fever, sometimes as high as 104°F, for the past few days, accompanied by severe headache and fatigue. Additionally, I've had bouts of stomach pain, diarrhea, and loss of appetite for the past couple of weeks."
234,Chicken pox,"Doc, I've been feeling unwell for about a week now, starting with a low-grade fever and a persistent headache, but over the past 48 hours, I've developed a really itchy and uncomfortable rash that's spreading all over my body, with small, fluid-filled blisters that are crusting over; it's getting harder to sleep and even move around because of the constant scratching and discomfort. To be honest, I've also been experiencing some fatigue and muscle aches for a few weeks prior to the rash appearing, which I initially brushed off as stress, but now I'm not so sure."
235,Impetigo,"I've been dealing with these annoying red sores on my face and arms for weeks now, they're itchy and painful, and seem to be spreading - I've tried to ignore them, but they've gotten so bad that I've started to feel really self-conscious about going out in public. Lately, they've started to crust over and ooze fluid, which is just disgusting, and I've noticed they're especially worse after I exercise or sweat a lot."
236,Fungal infection,"I've noticed a persistent, itchy rash on my skin that has been developing over the past few weeks. Additionally, I've had occasional bouts of fatigue and brain fog."
237,Common Cold,"I've had this lingering cough for weeks now, and it just won't quit. I've been feeling run down and congested, with headaches too, probably for about a month now."
238,Pneumonia,"I've been feeling off for the past few weeks, but it wasn't until yesterday that I woke up with a sudden, sharp chest pain on my left side that's been getting worse throughout the day, accompanied by a low-grade fever and a persistent cough that produces yellowish phlegm, which sometimes gets so bad I cough up bloody mucus."
239,Dimorphic Hemorrhoids,"Every time I strain to have a bowel movement, a sharp, searing pain shoots up my rectum like a bolt of lightning. It feels like a tight band squeezing my anal area, making it impossible to relax and comfortable."
240,Arthritis,"I've been waking up with stiff fingers and toes for months now, and lately, even simple tasks like buttoning my shirt or walking up the stairs have become a struggle due to a dull, aching pain that just won't subside. Some days are better than others, but over the past few weeks, I've noticed my knees have started to swell up, especially after a long day, making it harder for me to move around or even sleep at night."
241,Acne,"I've been noticing these annoying red bumps on my forehead and cheeks for weeks now, and lately, they've become more inflamed and painful, especially when I touch them or try to squeeze them, which I know I shouldn't do. Some of the bumps have turned into big, unsightly pus-filled cysts that seem to appear out of nowhere and take forever to heal, leaving behind dark spots that make me feel self-conscious about my skin."
242,Bronchial Asthma,"My chest tightens, squeezing the air from my lungs like a tightening fist. Each breath feels like an arduous journey, with a relentless tickle in my airways that escalates to a suffocating spasm."
243,Hypertension,"increasingly dizzy, especially when I stand up quickly, frequent headaches, slightly blurry vision"
244,Migraine,"Doc, I've been experiencing these debilitating headaches for the past 3 months, they usually start with a dull ache on the left side of my head and gradually intensify into a throbbing pain that can last for hours, sometimes even days. Lately, I've also been noticing that I'm extremely sensitive to light and sound, and even the slightest movement can trigger a wave of nausea that leaves me feeling completely drained."
245,Cervical spondylosis,"A dull, persistent pain in the back of the neck for the past few weeks with instances of radiating discomfort and stiffness in the shoulders and upper arms."
246,Jaundice,"Doctor, I've noticed a yellowing of my skin and the whites of my eyes for the past few weeks, pretty noticeable now, and I've been feeling really fatigued."
247,Malaria,"I've been feeling really rundown for weeks, with recurring bouts of fever and chills that seem to come and go, but lately, I've had this debilitating fatigue that's made it hard for me to even get out of bed in the morning. Last night, I had the worst headache of my life, and my body aches all over, like I've been put through a wringer, and I just can't shake this nagging sense of unease that something is off inside me."
248,urinary tract infection,"I'm experiencing a dull, stinging sensation while urinating, which has been getting progressively worse over the past few months. For the past week, I've had frequent and intense urges to urinate, but when I do, I'm experiencing burning pains in the lower abdomen and a persistent feeling of discomfort that's taking a toll on my daily activities."
249,allergy,"My nose, once a faithful companion, now feels like an uncooperative foe. Its constant barrage of sniffles and congestion feels like a symphony of obstruction, making it impossible to catch a clear breath."
250,gastroesophageal reflux disease,"Doc, I've been dealing with this constant discomfort in my chest and upper abdomen for a few months now, particularly after eating certain trigger foods like citrus fruits and spicy dishes. It feels like a steady burn, and occasionally I get a sharp stabbing pain in the middle of the night that wakes me up, accompanied by a bitter taste in my mouth."
251,drug reaction,"I've been experiencing a persistent, itchy rash on my arms and torso for weeks, which has recently worsened and is now accompanied by hives and swelling on my face and hands, especially after taking my medication. Over the past month, I've also noticed fatigue, headaches, and an unrelenting feeling of being 'off' or unwell, which I initially brushed off as stress, but now I'm worried it's related to my medication."
252,peptic ulcer disease,"I've been experiencing increasingly sharp stomach pains, sometimes stabbing and sometimes dull, that seem to be worsened by eating and relieved when I fast for a day or two. For the past few weeks, I've also noticed that I've been having trouble sleeping at night due to what feels like acid reflux, and I've been waking up with a burning sensation in my chest that takes a while to dissipate, leaving me feeling exhausted and irritable throughout the day."
253,diabetes,"As a patient with diabetes, I've been noticing a persistent thirst and frequent urination for the past few weeks, no matter how much I drink. Additionally, I've experienced unexplained weight loss and fatigue, making it difficult to carry out my daily activities."
254,Psoriasis,"For the past 3 months, I've been feeling embarrassed and self-conscious about the thick, scaly patches on my elbows and knees that just won't seem to go away, and I've started to notice that they're spreading to other areas like my scalp, which is causing me a lot of anxiety and interfering with my daily life. Recently, I've also been experiencing inflammation and itching on my skin, especially after taking a hot shower or just before bed, which is keeping me up all night and affecting my mood and energy levels."
255,Varicose Veins,"distinct heaviness and aching in my legs, particularly after long periods of standing or sitting; twisted, bulging veins visible just beneath the surface of my skin, predominantly on my calves and ankles; occasional burning or throbbing sensation."
256,Typhoid,"I've been feeling really under the weather for weeks, with a persistent fever that comes and goes, but recently I've started experiencing severe headaches, fatigue, and abdominal pain, which have made it difficult for me to eat or sleep. Over the past few days, I've also noticed a rash on my chest and a nagging feeling of discomfort in my stomach, which seems to be getting worse by the day."
257,Chicken pox,"Doc, I've been feeling terrible for weeks - my neck, back, and chest have been killing me with these dull aches and pains that come and go, and I've got this weird exhaustion that's been draining me all day, every day. But the past few days, I've broken out in these itchy, fluid-filled blisters all over my torso, arms, and legs, and I'm freaking out because some of them have crusted over, while others are still oozing and making me feel like I'm on fire."
258,Impetigo,"It started with a small, itchy blister on my elbow about three weeks ago. More blisters appeared on my face, arms, and legs, with a honey-colored crust forming on the surface. I'm feeling an intense burning sensation, especially when I scratch, which seems to make it worse. I'm worried that it's getting infected and spreading."
259,Fungal infection,"I have a nagging, itchy rash on my toe that started as a small circular lesion but has spread to cover the entire area, with bright red patches and raised borders. There's been intense yellow discharge, a foul odor, and swollen skin around the nail, which has become brittle and started to peel off. I'm worried I might have caught a fungal infection from a hike I went on a month ago."
260,Common Cold,"For the past few weeks, I've been experiencing this persistent, nagging fatigue that makes it hard for me to get out of bed in the morning. Lately, I've also noticed my nose has been running nonstop, accompanied by a scratchy, irritated throat and occasional soreness in my ears, which I've tried to blow off as just a mild allergy attack, but the feeling is starting to feel more genuine – as in, I'm pretty convinced I'm genuinely sick now."
261,Pneumonia,"The shadows of forgotten air linger in my lungs, leaving imprints of damp darkness on my breath. Each inhale feels like a treacherous betrayal by my own body, drawing in sounds that resemble distant sirens."
262,Arthritis,"My joints feel like twisted rubber, every movement a symphony of cracking and popping. The warmth in my fingers has vanished, replaced by a constant, tingling numbness that makes even the lightest touch feel like an electric shock."
263,Acne,"Doctor, I've been experiencing recurring red, itchy bumps on my face, especially on my forehead and chin, which started about 6 weeks ago and seem to be getting worse, with some of them forming pus-filled cysts that are painful to the touch. Over the past week, I've also noticed that my skin is feeling increasingly oily and clogged, with blackheads and small whiteheads popping up on my nose and cheeks, making my skin look dull and inflamed."
264,Bronchial Asthma,"As a patient with bronchial asthma, I have been experiencing shortness of breath and intermittent chest tightness for the past few weeks. Additionally, I've noticed that my coughing fits tend to worsen at night, causing me to wake up feeling fatigued and congested."
265,Hypertension,"lately I've been having these pounding headaches, especially in the afternoon, and they're starting to make it hard to concentrate at work.  I'm also noticing my vision is blurry sometimes, especially when I stand up too quickly."
266,Migraine,"I have been experiencing recurring episodes of intense, one-sided headaches that feel like a throbbing or pulsing sensation for the past few months. Additionally, I've noticed heightened sensitivity to light, sound, and smell, accompanied by nausea and vomiting during these migraine attacks."
267,Cervical spondylosis,"I'm experiencing sharp pains and stiffness in my neck, especially when I wake up in the morning and try to turn my head to the right, it's been like this for a few weeks now. Over the past month, I've also noticed numbness and tingling in my fingers, particularly my left hand, especially when I'm working on my computer for extended periods of time, and sometimes I get these weird sensations in my arm, like my arm is falling asleep."
268,Jaundice,"For the past few weeks, I've noticed my skin and eyes have taken on a yellowish hue, which has been gradually getting darker, and I've been experiencing fatigue and a general feeling of being unwell, along with a loss of appetite that's made me lose about 10 pounds over the past month. Lately, I've also had occasional abdominal pain and nausea, especially after eating, and my urine has been an unusually dark color, which has been alarming me and prompting me to seek your help."
269,Malaria,"I've been feeling absolutely drained for weeks now, like I've been running on empty, and recently I've started noticing these wicked headaches that feel like a ton of bricks are being dropped on my forehead. It's like my body is trying to tell me something, but what, I'm not sure - maybe it's the recurring fever, maybe it's the constant fatigue, or maybe it's just the feeling of being stuck in a weird, perpetual haze - all I know is that I'm not myself, and I'm scared."
270,urinary tract infection,"A persistent, sharp pain in my lower abdomen and back, radiating to my groin, like a dull knife twisting inside me. It's been lingering for weeks, making it difficult to sleep soundly and even walk comfortably."
271,allergy,"Doc, to be honest, I've been feeling a bit off for a few months now - my skin has been breaking out in these itchy, scaly patches on my arms and legs, and I've been experiencing sinus pressure and congestion so badly that I've had constant nosebleeds and a scratchy throat. But what really scared me was yesterday, after I had a big bowl of shrimp stir-fry, I woke up in the middle of the night with hives all over my body and a severe swelling in my lips and tongue, which definitely made me realize something's seriously wrong with my body."
272,gastroesophageal reflux disease,"My chest seizes, a relentless tension gripping my upper abdomen. My meals have become a gamble, sometimes bringing on a bitter wave of acid that coats my throat, leaving me choking and gasping for air."
273,drug reaction,"Doctor, I've been taking this new medication for about 6 weeks now, but for the past 2 weeks, I've noticed that my skin has started to itch all over, especially at night, and I've developed these strange, patchy rashes on my torso that seem to come and go, and today, I woke up with swollen eyelids and lips, which is freaking me out; over the past few months, I've also experienced frequent diarrhea, and a weird, metallic taste in my mouth that won't go away."
274,peptic ulcer disease,"I'm experiencing a dull, gnawing pain in the upper middle part of my abdomen that started a few days ago, and it seems to get worse after eating, especially when I drink coffee or eat spicy food. I've also noticed that I've been having bloody stools and black, tarry-looking vomit for the past week or so, which is really freaky and I'm starting to get worried, but the pain in my stomach has been the most persistent and is making it hard for me to sleep at night, I've had it for months, but it's been getting worse over the past few weeks."
275,diabetes,"I've been feeling incredibly thirsty lately, like I can't seem to drink enough water. I also feel like I'm always urinating, even right before bed."
276,Psoriasis,"I've had these itchy, red patches on my scalp for months now, and they seem to be getting worse. Sometimes they crack and flake, making it really uncomfortable."
277,Varicose Veins,"persistent aching and heavy feeling in my legs, enlarged, twisted, and discolored veins on my legs, throbbing, cramping, and burning sensation, particularly after long periods of standing or sitting."
278,Typhoid,"I've had this persistent fever for weeks now, just won't break. Lately, I've also had terrible stomach pains and sometimes bloody diarrhea."
279,Chicken pox,"I've had this itchy rash all over my body for a couple of weeks now, and it feels like it's getting worse. I also had a fever and felt really exhausted for a few days last week, but now I'm just mostly tired and uncomfortable."
280,Impetigo,"My skin feels like it's draped in damp cloth, heavy and uncomfortable. Deep within the rash, a subtle warmth shimmers, like embers waiting to ignite under the surface."
281,Dengue,"Doctor, for the past few weeks I've had this persistent, debilitating headache that just won't go away, along with a really bad muscle and joint pain that feels like I've been hit by a truck."
282,Fungal infection,"I've had this itchy, burning sensation on my skin for weeks, especially after exercising or sweating, and lately, I've noticed these small, raised patches with a red ring around them that seem to be spreading to other areas of my body. Just yesterday, I woke up with a severe case of athlete's foot, with flaking skin and an intense itch that's been keeping me up at night."
283,Common Cold,"I've been feeling fatigued and run down for the past few weeks, but it wasn't until yesterday that I started noticing a scratchy, burning sensation in my throat when I swallow, and today I woke up with a thick, mucus-filled cough that's been getting worse throughout the day."
284,Pneumonia,"For the past week, I've been experiencing a persistent and exhausting cough that wakes me up at night, accompanied by a nagging feeling of tightness in my chest that makes it hard to breathe deeply, and for the past few days, I've had a fever that comes and goes, but always leaves me feeling weak and drained. Sometimes, I get these sharp stabbing pains in my right side that take my breath away, and I've noticed my appetite has decreased, making me feel generally miserable and fatigued."
285,Dimorphic Hemorrhoids,"persistent discomfort in anal region, occasional itching and burning, painful swelling and bleeding after bowel movements, dimorphic hemorrhoids (internal and external swelling and protrusions)"
286,Arthritis,"I've been noticing a gradual worsening of my joint pain and stiffness over the past few months, particularly in my knees and hands, which can be alleviated with heat application and gentle exercise, but often returns after periods of inactivity. Most recently, I've been experiencing sudden, sharp pains in my right ankle after waking up, which has limited my ability to walk without support and has become quite frustrating."
287,Acne,"Doc, for months now I've been dealing with these recurring, painful red bumps on my forehead and chin that start as small, itchy whiteheads but often leave behind scarring spots, and over the past week I've noticed they're starting to break out more frequently, especially after I've sweated a lot or eaten certain spicy foods, which also seem to make the bumps more inflamed and tender to the touch."
288,Bronchial Asthma,"Doctor, for the past 6-8 weeks, I've been waking up every 2-3 days in the middle of the night with this tightening sensation in my chest and shortness of breath, like I've just finished sprinting - and this lasts for around an hour, and settles on its own after that; meanwhile, even doing routine stuff like household chores over the last few weeks leaves me exhausted, even making me need breaks between mere simple activities, my entire system has somehow forgotten the strength of feeling unimbalanced."
289,Hypertension,"Doc, I've been feeling like I've had a persistent band of pressure around my head for the past few weeks, and just today I woke up with a throbbing headache that's been lingering on and off throughout the day. Lately, I've also noticed that I get winded easily, even when doing simple tasks like walking up the stairs or carrying groceries, which is unusual for me since I'm generally an active person."
290,Migraine,"Doc, I've been experiencing these debilitating episodes for about 6 months now, but the severity has been increasing over the past 3 weeks. I'm talking about intense, throbbing headaches that shoot from the base of my skull to my forehead, accompanied by sensitivity to light that's crippling - I have to put on sunglasses in my own home, even on cloudy days, and even the soft glow of our TV's screen makes me wince. I've also been experiencing random, inexplicable numbness or tingling in my left hand and foot, which comes and goes without warning. Plus, the past few months have seen my mood swings become more frequent and intense - I'll go from 0 to 10 in seconds, feeling anxious and irritable for no apparent reason. I've also noticed that my sleep patterns have gotten all wonky - I'll cycle through phases of insomnia and exhaustion, and if I do manage to sleep, I wake up every hour or so, drenched in sweat and feeling like I've been hit by a truck."
291,Cervical spondylosis,"Lately, I've been experiencing this nagging stiffness in my neck that seems to worsen when I sit at my desk for too long, and sometimes it shoots sharp pains down my left arm, making it hard for me to sleep at night. Over the past few months, I've also noticed that my right hand has been feeling numb and tingly, especially when I'm driving or holding onto something, which is really concerning me."
292,Jaundice,"Doc, I've been feeling really weak and tired for the past few weeks, and just yesterday I noticed that my urine has turned a dark yellow color, almost like tea, and my skin has this weird yellowish tint to it, especially on my palms and soles. Over the past month or so, I've also been experiencing this dull ache in my upper right abdomen, just below my ribs, that comes and goes, but it's been getting worse over the past few days."
293,Malaria,"Doc, I've been feeling really worn out for weeks, with ongoing fevers that come and go, but lately, I've been getting these intense chills that leave me shaking like a leaf, accompanied by a headache that's been throbbing nonstop for days. The fatigue is crippling, and I've had this persistent nausea that's making it hard for me to eat or sleep, and to be honest, I've been having these weird vivid dreams and waking up drenched in sweat almost every night."
294,urinary tract infection,"For the past few weeks I've been having this constant, burning sensation when I pee, and I feel like I have to go all the time, even when my bladder isn't full."
295,allergy,"Doctor, over the past few weeks, I've been experiencing intermittent episodes of itchiness and hives on my skin, which seem to worsen when I'm outdoors, especially during pollen season, but today was particularly bad with constant sneezing and congestion after eating breakfast."
296,gastroesophageal reflux disease,"My chest seethes with an unfamiliar warmth, a burn that lingers like a forgotten ember. Each gasp triggers a tide of acid that burns its way up my esophagus, leaving a trail of acrid pain in its wake."
297,peptic ulcer disease,"Doc, I've been experiencing this gnawing, burning sensation in my upper abdomen for the past few weeks, it usually starts after I eat and can last for hours, sometimes it wakes me up in the middle of the night. Lately, I've also noticed that I've been getting this sharp, stabbing pain in my stomach after drinking coffee or eating spicy food, it's been going on for a few months now, but it's gotten worse over the past few days."
298,diabetes,"excessively thirsty and urinating frequently, even throughout the night, for the past few weeks; unexplained weight loss and fatigue; recurring episodes of blurred vision."
299,Psoriasis,"I've been noticing these red, itchy patches on my scalp and elbows for a few months now. They seem to be getting worse and flaking a lot, sometimes even bleeding."
300,Varicose Veins,"Doc, I've been noticing these swollen, twisted veins on my legs for a few months now, especially after standing for long periods, and lately, I've been experiencing this dull, aching pain in my calves that's been waking me up at night. Just yesterday, I saw that one of the veins on my thigh had become so prominent that it's started to throb and feel warm to the touch, which is really freaking me out."
301,Typhoid,"I've been feeling utterly exhausted for months now, like I'm running on empty even after getting a full night's sleep. Over the past week, I've noticed a persistent fever that's tended to spike in the late afternoon, accompanied by a dull headache that feels like someone is slowly tightening a screw inside my skull."
302,Chicken pox,"My entire body feels like a constellation of itchy, fiery stars. Each movement leaves a trail of tingling numbness in its wake."
303,Impetigo,"I've had these annoying red sores on my face and around my nose for weeks, they started as tiny bumps but have grown in size and are now oozing a yellowish discharge, making my skin feel itchy and sore to the touch. Over the past few days, I've noticed they've spread to my arms and legs, and I've been getting these painful, swollen lymph nodes in my neck and armpits that are really concerning me."
304,Dengue,"A persistent, agonizing ache that consumes my limbs and torso, as if gripped by an invisible vice. Sweet, incessant chills invade my bones, accompanied by an insatiable thirst that parches my throat like sand."
305,Fungal infection,"My throat has become a foreign landscape, its tissue laden with a dull, itchy blanket. Each swallow reverberates with a symphony of cracking and snapping, reminiscent of an ancient, petrified forest tremoring underfoot."
306,Common Cold,"I've been experiencing a persistent runny nose and occasional nasal congestion for the past few days. Additionally, I've noticed a mild sore throat, sneezing, and general fatigue that has been lingering for over a week."
307,Pneumonia,"I've had a nagging cough for the past 3 weeks, with occasional blood-tinged mucus that seems to worsen at night and after exerting myself. Over the past month, I've also noticed I've been getting winded easily, like I'm not getting enough oxygen, and I've been dealing with persistent fatigue, to the point where I've been relying on my bed for most of the day; just the past 2 days, I've had a fever of 102˚F that's come and gone."
308,Dimorphic Hemorrhoids,"I've been experiencing intermittent rectal bleeding for the past few months, usually after bowel movements, which I've learned to associate with mild discomfort or a feeling of pressure in my anal area. However, over the past week, I've noticed the bleeding has become more frequent, accompanied by tender swelling and a sense of fullness in my rectal area, making it uncomfortable to sit or walk for extended periods, which is why I'm seeking medical attention."
309,Arthritis,"For the past few weeks, I've been waking up with a dull ache in my knees, especially after a long day of work, and lately, I've noticed it's been getting harder to climb the stairs without feeling a sharp stabbing pain in my hips. Today, my fingers feel stiff and swollen, and I could hardly button my shirt or tie my shoes - it's like the joints in my hands are screaming for relief."
310,Acne,"I've been dealing with this persistent acne issue for the past few months, with a cluster of painful, large cysts on my forehead that just won't seem to heal, and to make matters worse, I've also started noticing red, inflamed bumps on my chin and upper neck that are leaving behind ugly scarring. It's been a real confidence killer, and I'm starting to get anxious about how long it will take to get rid of these embarrassing breakouts - some have even started to ooze pus, especially after I work out or get stressed out, and I've tried all sorts of products and treatments at home, but nothing seems to be giving me the clear skin I desperately crave."
311,Bronchial Asthma,"As a person with bronchial asthma, I've been experiencing occasional tightness in my chest for the past few weeks, which is accompanied by difficulty in breathing and a persistent cough, especially during the night or early morning. Additionally, I have noticed that my breathlessness tends to worsen during physical activities or when I am exposed to cold air, dust, or allergens."
312,Hypertension,"Doc, I'm a bit concerned - over the past week, I've been getting these sharp, stabbing headaches on both sides of my head, especially after exercising or getting up from a long sit. I've also noticed that my heart feels like it's racing nonstop, and sometimes I feel lightheaded or dizzy when I stand up too quickly, but it's been going on for a few months now, and I'm also experiencing numbness or tingling sensation in my hands and feet, especially at night, and I've been urinating more frequently than usual, and my legs often feel like they're heavy and weak, and I just can't seem to get a good night's sleep lately."
313,Migraine,"My head feels like a raging orchestra, each note a venomous symphony that threatens to burst my eardrums. The world around me feels like a distant hum, overshadowed by the deafening pain that pulsates behind my eyes."
314,Cervical spondylosis,"I've been experiencing a nagging stiffness in my neck and shoulder area for weeks, which has been radiating to numbness and tingling sensations in my arms, especially when I wake up in the morning or sit for extended periods, making it difficult for me to even hold my morning coffee. Lately, I've also noticed that the sharp, shooting pains in my neck and upper back have been getting worse, especially when I twist or turn my head, and they're really affecting my ability to focus on my daily tasks."
315,Jaundice,"My limbs feel like lead, weighing me down with an unrelenting pressure. Each whisper of movement reverberates through my veins, reminding me of the burden I carry. My skin, once a vibrant tapestry of life, now wears a sickly pallor, reflecting a harsh sun that now seems too close."
316,Malaria,"I have been experiencing recurrent fevers and chills, some of which have been severe enough to soak my clothes in sweat. Additionally, I have been feeling generally weak and fatigued for the past few weeks, accompanied by occasional headaches and muscle pain."
317,urinary tract infection,"I have a persistent and nagging urge to urinate for the past few days, but I don't seem to be passing much urine. When I do go, it burns and stings. My urine has a strong, unpleasant smell and appears cloudy. These symptoms have been gradually getting worse over the past week."
318,allergy,"Doc, I've been experiencing this itchy, watery sensation in my eyes for the past few weeks, especially after I'm outdoors or around pets, and it's been getting worse over time, to the point where I wake up in the middle of the night with my eyes feeling like they're on fire. Just yesterday, I broke out in hives on my arms and chest after eating a sandwich with nuts, and I've been feeling this constant tickle in the back of my throat that makes me want to cough, it's been going on for months, but it's getting more frequent and intense."
319,gastroesophageal reflux disease,"Lately, I've been waking up almost every morning with a sour taste in my mouth and a burning sensation in my chest, which gets worse when I bend over or lie down, and it's been going on for about 3 months now. Over the past few weeks, I've also noticed that I get a sudden, intense heartburn after eating spicy or fatty foods, and sometimes it's so bad that I feel like food is getting stuck in my throat."
